Precinct Code,Contest Title,Candidate Name,Party Code,Votes
135,"Place 6, Round Rock ISD Board of Trustee",Paul J. Tisch,NON,169
135,"Place 6, Round Rock ISD Board of Trustee",Tony A. Pitts,NON,140
135,Railroad Commissioner,Mark A. Miller,LIB,37
135,Railroad Commissioner,Martina Salinas,GRN,27
135,Railroad Commissioner,Ryan Sitton,REP,210
135,Railroad Commissioner,Steve Brown,DEM,257
135,"State Representative, District 52",Chris Osborn,DEM,282
135,"State Representative, District 52",Irene Johnson,LIB,34
135,"State Representative, District 52",Larry Gonzales,REP,213
135,"State Senator, District 5",Charles Schwertner,REP,216
135,"State Senator, District 5",Joel Shapiro,DEM,287
135,"State Senator, District 5",Matthew Whittington,LIB,31
135,STRAIGHT PARTY,DEMOCRATIC PARTY,DEM,164
135,STRAIGHT PARTY,GREEN PARTY,GRN,2
135,STRAIGHT PARTY,LIBERTARIAN PARTY,LIB,8
135,STRAIGHT PARTY,REPUBLICAN PARTY,REP,127
135,TX Prop 1,Against (En Contra),NON,147
135,TX Prop 1,For (A Favor),NON,340
135,United States Senator US REPRESENTATIVE DISTRICT 31,David M. Alameel,DEM,259
135,United States Senator US REPRESENTATIVE DISTRICT 31,"Emily ""Spicybrown"" Sanchez",GRN,13
135,United States Senator US REPRESENTATIVE DISTRICT 31,John Cornyn,REP,235
135,United States Senator US REPRESENTATIVE DISTRICT 31,Rebecca Paddock,LIB,33
135,United States Senator US REPRESENTATIVE DISTRICT 31,WRITE-IN,NON,0
135,"US Representative, District 31",John Carter,REP,235
135,"US Representative, District 31",Louie Minor,DEM,262
135,"US Representative, District 31",Scott J. Ballard,LIB,29
138,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,630
138,ACC Prop 1 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,693
138,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,562
138,ACC Prop 2 AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,759
138,ACC Prop AUSTIN COMMUNITY COLLEGE,Against (En Contra),NON,715
138,ACC Prop AUSTIN COMMUNITY COLLEGE,For (A Favor),NON,600
138,Attorney General,Jamar Osborne,GRN,10
138,Attorney General,Jamie Balagia,LIB,64
138,Attorney General,Ken Paxton,REP,808
138,Attorney General,Sam Houston,DEM,514
138,"Chief Justice, 3rd Court of Appeals Dist",Diane Henson,DEM,503
138,"Chief Justice, 3rd Court of Appeals Dist",Jeff Rose,REP,868
138,"Chief Justice, Supreme Court",Nathan Hecht,REP,838
138,"Chief Justice, Supreme Court",Tom Oxford,LIB,67
138,"Chief Justice, Supreme Court",William Moody,DEM,475
138,Commissioner of Agriculture,David (Rocky) Palmquist,LIB,59
138,Commissioner of Agriculture,Jim Hogan,DEM,486
138,Commissioner of Agriculture,Kenneth Kendrick,GRN,33
138,Commissioner of Agriculture,Sid Miller,REP,798
138,Commissioner of the General Land Office,George P. Bush,REP,839
138,Commissioner of the General Land Office,John Cook,DEM,464
138,Commissioner of the General Land Office,Justin Knight,LIB,65
138,Commissioner of the General Land Office,Valerie Alessi,GRN,22
138,Comptroller of Public Accounts,Ben Sanders,LIB,65
138,Comptroller of Public Accounts,Deb Shafto,GRN,17
138,Comptroller of Public Accounts,Glenn Hegar,REP,798
138,Comptroller of Public Accounts,Mike Collier,DEM,502
138,County Judge,Dan A. Gattis,REP,889
138,County Judge,Michael H. Custer,DEM,486
138,"District 6, Austin City Council",Don Zimmerman,NON,0
138,"District 6, Austin City Council","James ""Jimmy"" Flannigan",NON,0
138,"District 6, Austin City Council",Jay Wiley,NON,0
138,"District 6, Austin City Council","Lloyd ""Pete"" Phillips",NON,0
138,"District 6, Austin City Council",Mackenzie Kelly,NON,0
138,"District 6, Austin City Council",Matt Stillwell,NON,0
138,"District Judge, 277th Judicial District",Stacey Mathews,REP,922
138,"District Judge, 368th Judicial District",Rick J. Kennon,REP,888
138,Governor,Brandon Parmer,GRN,7
138,Governor,Greg Abbott,REP,836
138,Governor,Kathie Glass,LIB,34
138,Governor,Wendy R. Davis,DEM,536
138,Governor,WRITE-IN,NON,1
138,"Judge, Court of Criminal Appeals, Pl. 3",Bert Richardson,REP,814
138,"Judge, Court of Criminal Appeals, Pl. 3",John Granberg,DEM,466
138,"Judge, Court of Criminal Appeals, Pl. 3",Mark W. Bennett,LIB,79
138,"Judge, Court of Criminal Appeals, Pl. 4",Judith Sanders-Castro,GRN,169
138,"Judge, Court of Criminal Appeals, Pl. 4",Kevin Patrick Yeary,REP,857
138,"Judge, Court of Criminal Appeals, Pl. 4",Quanah Parker,LIB,212
138,"Judge, Court of Criminal Appeals, Pl. 9",David Newell,REP,864
138,"Judge, Court of Criminal Appeals, Pl. 9",George Joseph Altgelt,GRN,154
138,"Judge, Court of Criminal Appeals, Pl. 9","William Bryan Strange, III",LIB,204
138,"Justice of the Peace, Precinct No. 1",Dain Johnson,REP,878
138,"Justice of the Peace, Precinct No. 1",Nick Lealos,DEM,474
138,"Justice, Supreme Court, Place 6",Jeff Brown,REP,825
138,"Justice, Supreme Court, Place 6",Lawrence Edward Meyers,DEM,475
138,"Justice, Supreme Court, Place 6",Mark Ash,LIB,76
